name,symbol,rank,market_cap,current_price,syllable_count,character_length,phonetic_score,vowel_ratio,memorability_score,pronounceability_score,uniqueness_score,name_type,has_numbers,has_special_chars,name_type_percentile,price_30d_change,price_90d_change,price_1yr_change,price_ath_change,linguistic_composite,is_mission_positive,is_high_performer,is_breakout,rank_tier,in_linguistic_sweet_spot,mission_resonance_score
OKB,OKB,49,3031068498.0,144.31,1,3,86.67,0.3333333333333333,81.0,45.0,100.0,acronym,0,0,,-12.26198647746609,234.11832038113064,318.36082785187824,-28.544557239254114,78.1675,True,True,True,vanguard,False,84.82
Ethena,ENA,55,2753565592.0,0.38601,1,6,100.0,0.5,100.0,45.0,100.0,invented,0,0,,-19.48005603649603,-31.813721640752075,29.86271965666812,-63.67689262371269,86.25,True,False,False,established,False,89.87
Bitget Token,BGB,48,3179572287.0,4.54,4,12,62.73,0.36363636363636365,33.82,3.46,100.0,tech,0,0,,-9.019043190586501,0.20916369602884693,306.2864323474238,-42.683136237212935,50.0025,True,True,True,vanguard,False,61.03
Pepe,PEPE,52,2819508718.0,6.7e-06,1,4,100.0,0.5,100.0,56.67,100.0,animal,0,0,,-22.78031783943437,-45.2714925593071,-19.802317657353765,-73.5602944921392,89.1675,False,False,False,established,False,77.15
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,51,2828736997.0,1.0,13,50,45.56,0.37777777777777777,28.67,0.0,100.0,tech,0,0,,0.0,0.0,0.0,0.0,43.557500000000005,False,False,False,established,False,42.78
PayPal USD,PYUSD,53,2814445267.0,0.999901,2,10,56.67,0.3333333333333333,72.0,5.0,100.0,financial,0,0,,0.0069167536344747396,-0.012711449140776534,-0.38584018704519063,-0.38584018704519063,58.417500000000004,False,False,False,established,True,50.12
NEAR Protocol,NEAR,54,2773480430.0,2.17,3,13,83.33,0.4166666666666667,55.0,22.86,100.0,tech,0,0,,-19.315105095745917,-25.54644666175773,-46.84062516060729,-72.56352286013136,65.2975,False,False,False,established,False,51.5
Jito Staked SOL,JITOSOL,56,2620680085.0,229.97,3,15,66.92,0.38461538461538464,50.08,5.0,100.0,financial,0,0,,0.30072447730754936,3.3876968502187403,26.317524016277417,-22.61976008129601,55.5,True,False,False,established,False,62.56
USD1,USD1,50,2981666138.0,0.998796,1,4,86.67,0.3333333333333333,81.0,45.0,100.0,numeric,1,0,,0.05983846020283499,-0.08647673176058394,0.0,-1.4485769217229403,78.1675,False,False,False,vanguard,False,73.22
ChainOpera AI,COAI,56,2661553022.0,13.55,4,13,63.33,0.5833333333333334,34.0,40.0,100.0,tech,0,0,,6616.243473735064,,0.0,-30.974697207459105,59.332499999999996,False,False,False,established,False,57.68
